id,dbms,indexed,batch_size,experiment_size,preload_size,run_time,git_hash,rows_per_second,ms_per_transaction,timestamp
1153,mongodb,0,2,100000,1000000,28.39,a81d770,3522.37,0.57,2022-03-24 07:59:15
1154,mongodb,0,1000,100000,1000000,0.97,a81d770,103092.78,9.7,2022-03-24 07:59:26
1155,mongodb,0,500,100000,1000000,1.21,a81d770,82644.63,6.05,2022-03-24 07:59:37
1156,postgres,1,5,100000,1000000,88.65,a81d770,1128.03,4.43,2022-03-24 08:02:40
1157,postgres,1,10,100000,1000000,45.88,a81d770,2179.6,4.59,2022-03-24 08:05:02
1158,mongodb,1,200,100000,1000000,2.8,a81d770,35714.29,5.6,2022-03-24 08:05:24
1159,mysql,1,10,100000,1000000,179.94,a81d770,555.74,17.99,2022-03-24 08:08:43
1160,postgres,1,500,100000,1000000,9.56,a81d770,10460.25,47.8,2022-03-24 08:10:28
1161,mysql,0,5,100000,1000000,340.06,a81d770,294.07,17.0,2022-03-24 08:16:13
1162,mysql,0,500,100000,1000000,8.14,a81d770,12285.01,40.7,2022-03-24 08:16:25
1163,mysql,1,300,100000,1000000,22.58,a81d770,4428.7,67.81,2022-03-24 08:17:08
1164,postgres,0,100,100000,1000000,8.8,a81d770,11363.64,8.8,2022-03-24 08:18:32
1165,postgres,1,1500,100000,1000000,9.58,a81d770,10438.41,145.15,2022-03-24 08:20:18
1166,mysql,0,1500,100000,1000000,4.22,a81d770,23696.68,63.94,2022-03-24 08:20:27
1167,postgres,0,300,100000,1000000,7.41,a81d770,13495.28,22.25,2022-03-24 08:21:49
1168,mongodb,0,5,100000,1000000,12.21,a81d770,8190.01,0.61,2022-03-24 08:22:11
1169,mysql,0,50,100000,1000000,125.17,a81d770,798.91,62.59,2022-03-24 08:24:21
1170,mongodb,1,10,100000,1000000,7.49,a81d770,13351.13,0.75,2022-03-24 08:24:48
1171,postgres,0,25,100000,1000000,200.16,a81d770,499.6,50.04,2022-03-24 08:29:23
1172,mongodb,1,25,100000,1000000,4.49,a81d770,22271.71,1.12,2022-03-24 08:29:48
1173,mysql,1,500,100000,1000000,21.67,a81d770,4614.67,108.35,2022-03-24 08:30:29
